gvkey,conm,ind2d,sector_name,markup,weight,markup_base,weight_base,markup_change,contribution
010902,UNITED-GUARDIAN INC,32,Manufacturing,0.7516592216858847,1.819957100076614e-06,2.1475997718365023,7.183745115175037e-07,-1.3959405501506175,-2.540551915531471e-06
003806,DAWSON GEOPHYSICAL CO,21,"Mining, Quarrying, and Oil and Gas Extraction",0.9745732098085206,2.2515995189126376e-05,1.0956594560245174,9.950927707949931e-06,-0.12108624621599684,-2.726377337268757e-06
010938,US ENERGY CORP,21,"Mining, Quarrying, and Oil and Gas Extraction",0.4155657422947918,9.703510714521874e-07,3.3513090462307904,3.494499525597595e-06,-2.9357433039359986,-2.848701660482881e-06
007185,GENCOR INDUSTRIES INC,33,Manufacturing,1.1243010081618403,1.1819673136444495e-05,1.3781529678032487,6.1255585940600426e-06,-0.2538519596414084,-3.000447188007347e-06
003157,COHERENT INC,33,Manufacturing,1.5824294027060168,0.00014479019376906265,1.6037402252232171,6.087602983631317e-05,-0.02131082251720029,-3.0855981216435333e-06
002578,TELOS CORP/MD,54,"Professional, Scientific, and Technical Services",1.1414803517962848,2.2775723686845396e-05,1.2864275235558589,3.126071767823472e-05,-0.14494717175957406,-3.3012767331857787e-06
007911,NOBILITY HOMES INC,32,Manufacturing,0.42866297390845043,5.750672648131108e-06,1.00637497545237,2.8957547390962836e-05,-0.5777120015439197,-3.322232605775695e-06
003465,RIVERBEND INDUSTRIES,33,Manufacturing,1.0349288752283021,2.5599975569714588e-05,1.1736123636207494,4.170944017217396e-05,-0.13868348839244726,-3.5502939147694467e-06
008350,PARK OHIO HOLDINGS CORP,42,Wholesale Trade,1.1299475525965859,0.00021563544781366136,1.1466548530283154,0.000187237410890585,-0.01670730043172952,-3.6026862103533732e-06
009521,HORIZON KINETICS HLDING CORP,52,Finance and Insurance,1.4305502088882736,5.949099816414491e-06,2.066298796154816,1.3552736289209891e-05,-0.6357485872665425,-3.78213180379316e-06
