ind2d,year,theta_c
22,1976.0,0.8777355025130886
22,1977.0,0.87645477175139
22,1978.0,0.823937998779164
22,1979.0,0.8442363815724536
22,1980.0,0.7503227811113466
22,1981.0,0.5696411336204059
22,1982.0,0.7633387723581955
22,1983.0,0.7176646247382924
22,1984.0,0.7573687630459263
22,1985.0,0.7594068563946362
22,1986.0,0.8243002092086176
22,1987.0,0.5775558630305482
22,1988.0,0.7293481819500999
22,1989.0,0.6616505807287447
22,1990.0,0.6920715851617948
22,1991.0,0.6699641308487325
22,1992.0,0.6857895704595602
22,1993.0,0.6532075312214458
22,1994.0,0.6861998890184874
22,1995.0,0.6093312435707522
22,1996.0,0.6416625558409427
22,1997.0,0.6501063734356408
22,1998.0,0.626642148371426
22,1999.0,0.6166718269391674
22,2000.0,0.6006120028187232
22,2001.0,0.6614287263574559
22,2002.0,0.6951480077995602
22,2003.0,0.6992871716661226
22,2004.0,0.7093064675241018
22,2005.0,0.6864634366537905
22,2006.0,0.65001855601363
22,2007.0,0.5643156786871376
22,2008.0,0.692561610881175
22,2009.0,0.6246219762733662
22,2010.0,0.6547701537378456
22,2011.0,0.5633270062534117
22,2012.0,0.5953142489070163
22,2013.0,0.5860524044420818
22,2014.0,0.6284647856705667
22,2015.0,0.6132987633890629
22,2016.0,0.5617942255856037
23,1955.0,0.9650021587973581
23,1956.0,0.9879839091400734
23,1957.0,0.9840359584347054
23,1958.0,0.9820949595355478
23,1959.0,0.9763963852885231
23,1960.0,0.9579408213715124
23,1961.0,0.967364274498735
23,1962.0,0.9614731747085118
23,1963.0,0.9621481913214757
23,1964.0,0.9415047114006374
23,1965.0,0.9434437084843993
23,1966.0,0.9375081789722559
23,1967.0,0.9432426100729747
23,1968.0,0.959772345271371
23,1969.0,0.9453229041907777
23,1970.0,0.9529550431864708
23,1971.0,0.9628339747858667
23,1972.0,0.9549012500023334
23,1973.0,0.9541121929577848
23,1974.0,0.9559994416746247
23,1975.0,0.9655660315191864
23,1976.0,0.9487356907876144
23,1977.0,0.953677089712597
23,1978.0,0.9578437955865958
23,1979.0,0.9460453533786312
23,1980.0,0.9372992397786484
23,1981.0,0.9071125741599009
23,1982.0,0.9100621579114425
23,1983.0,0.9183382727390055
23,1984.0,0.916510484985207
23,1985.0,0.9428637405003343
23,1986.0,0.9455713938450814
23,1987.0,0.9450509143356736
23,1988.0,0.9389595284339817
23,1989.0,0.939232688312805
23,1990.0,0.9242414004021937
23,1991.0,0.9306426731291239
23,1992.0,0.9385059165594586
23,1993.0,0.9445562535165124
23,1994.0,0.9383927591522465
23,1995.0,0.9456921738041728
23,1996.0,0.9465199980668343
23,1997.0,0.954368549782223
23,1998.0,0.9528335300703943
23,1999.0,0.9474687002964108
23,2000.0,0.9483955471297221
23,2001.0,0.9533599989769322
23,2002.0,0.9621786052245692
23,2003.0,0.9639734174031478
23,2004.0,0.964676188995479
23,2005.0,0.9616041702894633
23,2006.0,0.9576508902854648
23,2007.0,0.9573291557865619
23,2008.0,0.9705917948009466
23,2009.0,0.9666625165829958
23,2010.0,0.970635065028433
23,2011.0,0.9769408283053809
23,2012.0,0.9761712382985082
23,2013.0,0.971193148386686
23,2014.0,0.9717748580823181
23,2015.0,0.9694248552551108
23,2016.0,0.9732774963549626
31,1955.0,0.9597940701970707
31,1956.0,0.9596029576700977
31,1957.0,0.9538097848192875
31,1958.0,0.9524520246847943
31,1959.0,0.9406838807159601
31,1960.0,0.9466978190197645
31,1961.0,0.9469281602435105
31,1962.0,0.9459431031860289
31,1963.0,0.9414942145214198
31,1964.0,0.941114851755144
31,1965.0,0.9374704147370237
31,1966.0,0.939594591807386
31,1967.0,0.943729035096616
31,1968.0,0.9476046770822641
31,1969.0,0.9370634853419215
31,1970.0,0.9379425533741929
31,1971.0,0.9490295162237844
31,1972.0,0.9486895443536023
31,1973.0,0.9386401685183057
31,1974.0,0.9471281555913039
31,1975.0,0.9658469219536968
31,1976.0,0.9554692501305214
31,1977.0,0.9554079931036308
31,1978.0,0.9494863378864212
31,1979.0,0.945295167779417
31,1980.0,0.9418696564793282
31,1981.0,0.935004656139706
31,1982.0,0.9350415819941807
31,1983.0,0.9367524674646952
31,1984.0,0.9309399175980826
31,1985.0,0.9391523780363372
31,1986.0,0.9380280038168127
31,1987.0,0.9405169383371406
31,1988.0,0.9403787903141725
31,1989.0,0.9343064831758243
31,1990.0,0.9302158459352551
31,1991.0,0.9366651834103412
31,1992.0,0.9383076342445084
31,1993.0,0.9417871067716124
31,1994.0,0.9297617413914163
31,1995.0,0.9260619892746017
31,1996.0,0.929901481162196
31,1997.0,0.9198593609218453
31,1998.0,0.911407832872059
31,1999.0,0.9143429100304898
31,2000.0,0.9121679318101799
31,2001.0,0.9192733068470529
31,2002.0,0.9285952543304914
31,2003.0,0.9332946059152476
31,2004.0,0.9416495857017833
31,2005.0,0.9338339754094552
31,2006.0,0.9270825083774171
31,2007.0,0.9270806015771795
31,2008.0,0.9367461986470915
31,2009.0,0.9317511680072565
31,2010.0,0.9327570855974259
31,2011.0,0.9405570317215309
31,2012.0,0.9398651271042586
31,2013.0,0.9326969825019369
31,2014.0,0.9355246346406942
31,2015.0,0.9381884016770359
31,2016.0,0.932060412751059
32,1955.0,0.8947947934715196
32,1956.0,0.8883315916369677
32,1957.0,0.8826259912095511
32,1958.0,0.8838834222306029
32,1959.0,0.8641062116053622
32,1960.0,0.8826909603948341
32,1961.0,0.8872646856339059
32,1962.0,0.8843049553880564
32,1963.0,0.8827193190388225
32,1964.0,0.8845099787229357
32,1965.0,0.8865039650291737
32,1966.0,0.8888602457475457
32,1967.0,0.8913867142356999
32,1968.0,0.8962981719508362
32,1969.0,0.8813092368924639
32,1970.0,0.8946833308034234
32,1971.0,0.909718571944661
32,1972.0,0.9126160033040214
32,1973.0,0.8999170063646215
32,1974.0,0.9218016476115278
32,1975.0,0.9433786580573064
32,1976.0,0.9314893436782279
32,1977.0,0.9337497847799644
32,1978.0,0.9258092824285007
32,1979.0,0.9165255695360494
32,1980.0,0.9080586870392637
32,1981.0,0.8889616195038839
32,1982.0,0.8884601443556426
32,1983.0,0.8887439390807341
32,1984.0,0.881468270557054
32,1985.0,0.8865387234299034
32,1986.0,0.8854105171996408
32,1987.0,0.8847773166415
32,1988.0,0.8870579173074096
32,1989.0,0.8750414090020168
32,1990.0,0.8756757302422932
32,1991.0,0.8827049741222431
32,1992.0,0.8932722652735026
32,1993.0,0.8916485155962184
32,1994.0,0.8856501324294235
32,1995.0,0.8752971854101699
32,1996.0,0.8719037800576597
32,1997.0,0.8650552698112506
32,1998.0,0.8572532845714744
32,1999.0,0.8638238153609575
32,2000.0,0.8633382662465504
32,2001.0,0.8741339675844468
32,2002.0,0.8872459794134193
32,2003.0,0.9000273902624444
32,2004.0,0.9059226953895834
32,2005.0,0.896843069195268
32,2006.0,0.8851327483868756
32,2007.0,0.8797036866140875
32,2008.0,0.8994420018960505
32,2009.0,0.891269755265953
32,2010.0,0.8997808827152259
32,2011.0,0.9085458269694007
32,2012.0,0.9045690542980878
32,2013.0,0.9013429849522673
32,2014.0,0.9023320367980067
32,2015.0,0.8999811163937094
32,2016.0,0.8917314663548079
33,1955.0,0.9470239768592388
33,1956.0,0.9519225622782563
33,1957.0,0.9464319342583796
33,1958.0,0.941410752813033
33,1959.0,0.9335851271788701
33,1960.0,0.9341763113058054
33,1961.0,0.9351894301589607
33,1962.0,0.9367886385514894
33,1963.0,0.9328579661566456
33,1964.0,0.9333716519389986
33,1965.0,0.9347848653954587
33,1966.0,0.9354021861300007
33,1967.0,0.9349790419641619
33,1968.0,0.9332635000166479
33,1969.0,0.9241123323460262
33,1970.0,0.9276599317345511
33,1971.0,0.9383362837685463
33,1972.0,0.938546996712976
33,1973.0,0.9321530177060395
33,1974.0,0.9445386644218405
33,1975.0,0.9599389992418805
