ind2d,year,theta_c,theta_k
21,1977.0,0.7328371055364616,0.2849853957745046
21,1978.0,0.7107517437672111,0.31351503429307737
21,1979.0,0.6976543459990863,0.30085411622296776
21,1980.0,0.6794753572254643,0.35184731835519123
21,1981.0,0.6680456325559511,0.3244751718164307
21,1982.0,0.664841342990105,0.31034230747458097
21,1983.0,0.6858386824167254,0.30718194029688556
21,1984.0,0.7201406249103973,0.28898123166144973
52,1963.0,0.9691062043411843,0.005161402790127219
52,1964.0,0.9691062043411843,0.005161402790127219
52,1965.0,0.9691062043411843,0.005161402790127219
52,1966.0,0.9691062043411843,0.005161402790127219
52,1967.0,0.9691062043411843,0.005161402790127219
52,1968.0,0.9691062043411843,0.005161402790127219
52,1969.0,0.9691062043411843,0.005161402790127219
52,1970.0,0.9384658015983957,0.12080599207181641
52,1971.0,0.9216528531612094,0.1483466110597392
52,1974.0,0.9065328200274473,0.06978316838827862
54,1973.0,0.8840814589127158,-0.022633625375531635
54,1974.0,0.8876439597357582,0.07830689358167188
54,1975.0,0.8808483434911956,0.08091128553690123
54,1976.0,0.8692925450196698,0.080418319545038
21,1985.0,0.7294677131393772,0.2376216725463137
21,1986.0,0.7716231815889888,0.22958589211534194
21,1987.0,0.7947631381488652,0.21807605611664077
21,1988.0,0.7848164667447609,0.2373173643211633
99,1989.0,0.859325026845157,0.2146564240476531
99,1990.0,0.8665902971939,0.20377014063849716
99,1991.0,0.871884662808775,0.21570762963073595
99,1992.0,0.8796498511214963,0.16749674637674206
99,1993.0,0.8944437715627506,0.12912911590658369
21,1991.0,0.736437875771267,0.26410698948307043
21,1992.0,0.751040310927072,0.2391487131556809
21,1993.0,0.7520654931415761,0.20585996371600163
21,1994.0,0.7394785549446737,0.23400131361892176
21,1995.0,0.7386339963289932,0.27873767809865824
21,1996.0,0.7574551785278584,0.2764087035069798
21,1997.0,0.7304386837935387,0.31280272504701134
21,1998.0,0.6941747415762236,0.370673067761509
21,1999.0,0.6955083709031179,0.38279142917038955
21,2000.0,0.6978943427348928,0.3268397075640012
21,2001.0,0.6683901812326651,0.383880224436888
21,2002.0,0.6706052245755265,0.36207331056459446
21,2003.0,0.6943481754620611,0.3013513890971839
21,2004.0,0.7084905397599122,0.2455069874158052
21,2005.0,0.7131540801625604,0.23794860195876905
21,2006.0,0.7295128215587631,0.24228820510941032
21,2007.0,0.7558010717672858,0.28019221415871487
21,2008.0,0.7743029795888537,0.2966614704791054
21,2009.0,0.7854008621505454,0.33611591073151575
21,2010.0,0.8007081503140371,0.3509939989016838
21,2011.0,0.7914428013708692,0.37677004506481193
21,2012.0,0.7852006864457537,0.4287032988736592
21,2013.0,0.8356956911029313,0.45206831756675203
21,2014.0,0.8446816262475392,0.49103950068944807
21,2015.0,0.8510416410239193,0.5076376185667276
21,2016.0,0.9115561425278893,0.5379024254201066
54,1964.0,0.9100227237709929,0.053027007089311795
54,1969.0,0.9100227237709929,0.053027007089311795
31,1988.0,0.8949207371247986,0.10247007923868832
31,1989.0,0.8925387593525116,0.09074421060925733
31,1990.0,0.9001067794564175,0.05218886162124433
31,1991.0,0.9033246998978894,0.04718486423579798
31,1992.0,0.8993685860949561,0.08196101735457607
31,1993.0,0.8912286832917091,0.07963446111287717
48,1980.0,0.8218015006966222,0.22587738016503106
48,1981.0,0.8269513253451973,0.17528420574050288
48,1982.0,0.8264089642100898,0.14691736955018456
48,1984.0,0.8466645000908009,0.04884768438215964
48,1985.0,0.8473029817821608,0.03328931684761052
48,1986.0,0.8494152535595476,0.05670422962348049
48,1987.0,0.8481539215600217,0.06436995851743978
48,1988.0,0.8490206168455761,0.06997952818697288
48,1989.0,0.8474614553123782,0.06805740349116275
48,1990.0,0.8567568335340578,0.07227618643769357
48,1991.0,0.8646698377909366,0.08282909650381572
48,1992.0,0.8706807824332037,0.06289603196781962
48,1993.0,0.8688288279058299,0.07925906650935395
48,1994.0,0.8719639883821422,0.08502689201516803
48,1995.0,0.8719388347824616,0.08200444375081738
48,1996.0,0.8826208988817713,0.08398708421845374
48,1997.0,0.8845603034437602,0.10531586035461567
48,1998.0,0.8876937248213222,0.104585397053959
32,1955.0,0.9138591341002208,0.11539188088106457
32,1956.0,0.9138591341002208,0.11539188088106457
32,1957.0,0.9138591341002208,0.11539188088106457
32,1958.0,0.9138591341002208,0.11539188088106457
32,1959.0,0.9138591341002208,0.11539188088106457
32,2008.0,0.7888369769203892,0.19875927822361
32,2009.0,0.785740839107595,0.21021604691630832
32,2010.0,0.7883379645841438,0.2037933012665476
32,2011.0,0.8039114632849765,0.22079073909983998
32,2012.0,0.807614010718146,0.2160358333130383
32,2013.0,0.8089269562794774,0.26240957604220577
32,2014.0,0.8161673274553087,0.2711827540288532
32,2015.0,0.8234317189365383,0.25988440735403573
32,2016.0,0.8224810921105784,0.26730376426247676
49,1982.0,0.8264089642100898,0.14691736955018456
49,1983.0,0.8347790935525093,0.05870585416862476
49,1984.0,0.8466645000908009,0.04884768438215964
49,1985.0,0.8473029817821608,0.03328931684761052
49,1986.0,0.8494152535595476,0.05670422962348049
49,1987.0,0.8481539215600217,0.06436995851743978
49,1988.0,0.8490206168455761,0.06997952818697288
49,1989.0,0.8474614553123782,0.06805740349116275
49,1990.0,0.8567568335340578,0.07227618643769357
49,1991.0,0.8646698377909366,0.08282909650381572
49,1992.0,0.8706807824332037,0.06289603196781962
49,1993.0,0.8688288279058299,0.07925906650935395
49,1994.0,0.8719639883821422,0.08502689201516803
49,1995.0,0.8719388347824616,0.08200444375081738
49,1996.0,0.8826208988817713,0.08398708421845374
49,1997.0,0.8845603034437602,0.10531586035461567
49,1998.0,0.8876937248213222,0.104585397053959
49,1999.0,0.8789614043093922,0.11552710815048603
49,2000.0,0.8784867123011328,0.1267616719265723
49,2001.0,0.8619954254637089,0.14109591146375017
49,2002.0,0.8525461518528108,0.14951174567532907
49,2003.0,0.8535135320485254,0.1249944675456884
49,2004.0,0.851953134885559,0.11817772647379024
49,2005.0,0.8420985669658105,0.11615115341168836
